date,code,close,pbMRQ,isST,ave_close,ave_pbMRQ,code_name
2019-10-10,sz.000793,2.9400,1.201644,0,2.9219999999999997,1.1942869999999999,华闻集团
2019-10-17,sz.000793,3.0100,1.230254,0,3.006,1.2286194000000001,华闻集团
2019-10-24,sz.000793,2.9500,1.205731,0,2.9619999999999997,1.2106358,华闻集团
2019-10-31,sz.000793,3.0400,1.242260,0,3.1979999999999995,1.3069354,华闻集团
2019-11-07,sz.000793,2.9900,1.221828,0,2.992,1.222645,华闻集团
2019-11-14,sz.000793,2.9700,1.213655,0,2.98,1.2177411999999999,华闻集团
2019-11-21,sz.000793,3.0400,1.242260,0,2.9539999999999997,1.2071166,华闻集团
2019-11-28,sz.000793,2.9100,1.189137,0,2.936,1.1997612,华闻集团
2019-12-05,sz.000793,2.9400,1.201396,0,2.908,1.1883192,华闻集团
2019-12-12,sz.000793,2.9400,1.201396,0,2.958,1.2087512,华闻集团
2019-12-19,sz.000793,3.2800,1.340333,0,3.074,1.2561529999999999,华闻集团
2019-12-26,sz.000793,3.3000,1.348505,0,3.182,1.300286,华闻集团
2020-01-03,sz.000793,3.5800,1.462924,0,3.4520000000000004,1.4106184000000002,华闻集团
2020-01-10,sz.000793,3.3800,1.381196,0,3.4739999999999993,1.4196084,华闻集团
2020-01-17,sz.000793,3.5200,1.438406,0,3.3940000000000006,1.3869174000000002,华闻集团
2020-02-03,sz.000793,3.0200,1.234087,0,3.442,1.406532,华闻集团
2020-02-10,sz.000793,3.1600,1.291296,0,3.056,1.2487976,华闻集团
2020-02-17,sz.000793,3.1600,1.291296,0,3.098,1.2659606,华闻集团
2020-02-24,sz.000793,3.3700,1.377110,0,3.278,1.3452362,华闻集团
2020-03-02,sz.000793,3.1400,1.283123,0,3.222,1.3166316,华闻集团
2020-03-09,sz.000793,3.3500,1.368937,0,3.3300000000000005,1.3607643999999999,华闻集团
2020-03-16,sz.000793,3.1400,1.283123,0,3.344,1.3664856,华闻集团
2020-03-23,sz.000793,3.0000,1.225914,0,3.1060000000000003,1.2692294,华闻集团
2020-03-30,sz.000793,3.2900,1.344419,0,3.2019999999999995,1.3084588,华闻集团
2020-04-07,sz.000793,3.2800,1.340333,0,3.2,1.3076416,华闻集团
2020-04-14,sz.000793,3.1800,1.299469,0,3.29,1.344419,华闻集团
2020-04-21,sz.000793,3.1000,1.173998,0,3.1039999999999996,1.175513,华闻集团
2020-04-28,sz.000793,2.9800,1.128553,0,3.096,1.1724834,华闻集团
2018-04-10,sz.000836,4.6200,3.201624,0,4.688000000000001,3.2487470000000003,富通鑫茂
2018-04-17,sz.000836,4.3600,2.986399,0,4.582,3.1460472,富通鑫茂
2018-04-24,sz.000836,4.2200,2.890506,0,4.27,2.9247534,富通鑫茂
2018-05-03,sz.000836,4.3200,2.924284,0,4.418,3.0123684000000006,富通鑫茂
2018-05-10,sz.000836,4.6700,3.161205,0,4.558,3.0853904,富通鑫茂
2018-05-17,sz.000836,5.0600,3.425203,0,4.798,3.2478508000000006,富通鑫茂
2018-05-24,sz.000836,5.1300,3.472587,0,5.183999999999999,3.5091411999999997,富通鑫茂
2018-05-31,sz.000836,4.5700,3.093514,0,4.81,3.2559739999999997,富通鑫茂
2018-06-07,sz.000836,4.9900,3.377819,0,4.792,3.2437891999999997,富通鑫茂
2018-06-14,sz.000836,5.1300,3.472587,0,5.0520000000000005,3.4197878000000004,富通鑫茂
2018-06-22,sz.000836,4.8000,3.249205,0,4.744000000000001,3.2112974000000003,富通鑫茂
2018-06-29,sz.000836,4.7200,3.195051,0,4.726,3.1991126,富通鑫茂
2018-07-06,sz.000836,4.0500,2.741516,0,4.46,3.0190525999999998,富通鑫茂
2018-07-13,sz.000836,4.1900,2.836285,0,4.164,2.8186850000000003,富通鑫茂
2018-07-20,sz.000836,4.2700,2.890438,0,4.294,2.9066844,富通鑫茂
2018-07-27,sz.000836,4.4500,3.012283,0,4.394,2.9743760000000004,富通鑫茂
2018-08-03,sz.000836,4.2700,2.890438,0,4.32,2.9242842,富通鑫茂
2018-08-10,sz.000836,4.5900,3.107052,0,4.356,2.9486532,富通鑫茂
2018-08-17,sz.000836,4.2500,2.876900,0,4.326,2.928345599999999,富通鑫茂
2018-08-24,sz.000836,4.2200,2.856592,0,4.235999999999999,2.8674229999999996,富通鑫茂
2018-08-31,sz.000836,4.0900,2.796606,0,4.180000000000001,2.8522824,富通鑫茂
2018-09-07,sz.000836,4.0700,2.782931,0,4.086,2.7938712,富通鑫茂
2018-09-14,sz.000836,4.0800,2.789769,0,3.9820000000000007,2.7227596,富通鑫茂
2018-09-21,sz.000836,4.4200,3.022250,0,4.360000000000001,2.9812236,富通鑫茂
2018-10-08,sz.000836,4.3200,2.953873,0,4.424,3.0249848,富通鑫茂
2018-10-15,sz.000836,3.7900,2.591476,0,4.054,2.7719910000000003,富通鑫茂
2018-10-22,sz.000836,3.6200,2.475236,0,3.6100000000000003,2.4683984000000003,富通鑫茂
2018-10-29,sz.000836,3.4600,2.365833,0,3.5,2.393184,富通鑫茂
